"ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount","adj_factor","adjust"
"601988.SH","20250904","5.414471","5.541985","5.306574","5.512559","5.443897","0.068662","1.261261","6529944.050000","3605212.942000","2.534600","qfq"
"601988.SH","20250905","5.483132","5.483132","5.394853","5.414471","5.512559","-0.098088","-1.779359","3670349.200000","2029841.862000","2.534600","qfq"
"601988.SH","20250908","5.394853","5.424279","5.355618","5.365426","5.414471","-0.049044","-0.905797","3264583.800000","1792239.406000","2.534600","qfq"
"601988.SH","20250909","5.365426","5.404662","5.355618","5.375235","5.365426","0.009809","0.182815","2004368.500000","1098727.195000","2.534600","qfq"
"601988.SH","20250910","5.375235","5.394853","5.345809","5.385044","5.375235","0.009809","0.182482","2226585.470000","1219577.875000","2.534600","qfq"
"601988.SH","20250911","5.375235","5.434088","5.336000","5.394853","5.385044","0.009809","0.182149","4108413.150000","2248226.546000","2.534600","qfq"
"601988.SH","20250912","5.385044","5.424279","5.375235","5.375235","5.394853","-0.019618","-0.363636","2827502.540000","1555441.039000","2.534600","qfq"
"601988.SH","20250915","5.375235","5.394853","5.345809","5.355618","5.375235","-0.019618","-0.364964","2335960.950000","1276079.490000","2.534600","qfq"
"601988.SH","20250916","5.355618","5.365426","5.296765","5.306574","5.355618","-0.049044","-0.915751","3193591.390000","1731385.451000","2.534600","qfq"
"601988.SH","20250917","5.316382","5.326191","5.257529","5.296765","5.306574","-0.009809","-0.184843","2425996.920000","1308223.172000","2.534600","qfq"
"601988.SH","20250918","5.306574","5.306574","5.188868","5.198676","5.296765","-0.098088","-1.851852","3381325.450000","1805614.530000","2.534600","qfq"
"601988.SH","20250919","5.188868","5.198676","5.100588","5.188868","5.198676","-0.009809","-0.188679","3205615.900000","1683744.848000","2.534600","qfq"
"601988.SH","20250922","5.169250","5.198676","5.110397","5.110397","5.188868","-0.078471","-1.512287","1966401.630000","1029995.116000","2.534600","qfq"
"601988.SH","20250923","5.090779","5.247721","5.061353","5.198676","5.110397","0.088279","1.727447","4545930.900000","2403683.929000","2.534600","qfq"
"601988.SH","20250924","5.188868","5.267338","5.169250","5.179059","5.198676","-0.019618","-0.377358","3266236.720000","1733861.440000","2.534600","qfq"
"601988.SH","20250925","5.169250","5.179059","5.110397","5.139824","5.179059","-0.039235","-0.757576","2443718.410000","1278506.180000","2.534600","qfq"
"601988.SH","20250926","5.130015","5.169250","5.100588","5.139824","5.139824","0.000000","0.000000","1796615.780000","941038.598000","2.534600","qfq"
"601988.SH","20250929","5.139824","5.139824","5.061353","5.100588","5.139824","-0.039235","-0.763359","2917788.460000","1516930.591000","2.534600","qfq"
"601988.SH","20250930","5.090779","5.110397","5.061353","5.080971","5.100588","-0.019618","-0.384615","1921347.700000","995407.457000","2.534600","qfq"
"601988.SH","20251009","5.080971","5.130015","5.031926","5.130015","5.080971","0.049044","0.965251","2689854.540000","1393383.720000","2.534600","qfq"
"601988.SH","20251010","5.120206","5.179059","5.110397","5.130015","5.130015","0.000000","0.000000","2409802.600000","1263371.303000","2.534600","qfq"
"601988.SH","20251013","5.110397","5.149632","5.051544","5.100588","5.130015","-0.029426","-0.573614","3021411.160000","1570451.123000","2.534600","qfq"
"601988.SH","20251014","5.090779","5.188868","5.061353","5.179059","5.100588","0.078471","1.538462","3861011.330000","2026534.448000","2.534600","qfq"
"601988.SH","20251015","5.179059","5.208485","5.139824","5.179059","5.179059","0.000000","0.000000","2922443.200000","1540688.791000","2.534600","qfq"
"601988.SH","20251016","5.179059","5.296765","5.169250","5.277147","5.179059","0.098088","1.893939","4077234.670000","2176680.820000","2.534600","qfq"
"601988.SH","20251017","5.277147","5.326191","5.228103","5.237912","5.277147","-0.039235","-0.743494","3096181.250000","1667212.880000","2.534600","qfq"
"601988.SH","20251020","5.218294","5.286956","5.139824","5.257529","5.237912","0.019618","0.374532","3335802.720000","1771036.686000","2.534600","qfq"
"601988.SH","20251021","5.247721","5.296765","5.228103","5.286956","5.257529","0.029426","0.559701","2619478.230000","1407715.231000","2.534600","qfq"
"601988.SH","20251022","5.286956","5.365426","5.277147","5.355618","5.286956","0.068662","1.298701","3365877.080000","1827788.249000","2.534600","qfq"
"601988.SH","20251023","5.355618","5.414471","5.326191","5.385044","5.355618","0.029426","0.549451","3778822.290000","2072372.182000","2.534600","qfq"
