ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,adjust
603986.SH,20250902,179.020087,187.727445,172.799119,175.744842,174.626466,1.118376,0.640439,762852.370000,13736024.580000,5.647900,qfq
603986.SH,20250903,176.004465,177.472334,168.305643,170.841960,175.744842,-4.902882,-2.789773,441275.980000,7587032.736000,5.647900,qfq
603986.SH,20250904,168.754990,170.821989,153.756766,153.756766,170.841960,-17.085195,-10.000584,454980.530000,7284233.850000,5.647900,qfq
603986.SH,20250905,149.782536,163.752253,145.588625,159.328676,153.756766,5.571910,3.623847,699487.700000,10700137.153000,5.647900,qfq
603986.SH,20250908,161.695240,168.754990,158.919270,163.592485,159.328676,4.263810,2.676109,523714.750000,8602671.849000,5.647900,qfq
603986.SH,20250909,160.766588,162.563979,154.395838,156.922170,163.592485,-6.670316,-4.077397,327320.340000,5191824.525000,5.647900,qfq
603986.SH,20250910,156.912184,163.013326,155.474272,161.056168,156.922170,4.133998,2.634426,334656.970000,5358368.655000,5.647900,qfq
603986.SH,20250911,161.026211,177.162783,159.768038,177.162783,161.056168,16.106615,10.000620,554423.950000,9422962.073000,5.647900,qfq
603986.SH,20250912,179.729057,194.877064,177.242667,189.934241,177.162783,12.771458,7.208883,710357.040000,13432520.618000,5.647900,qfq
603986.SH,20250915,193.229457,194.218021,186.349445,190.663182,189.934241,0.728942,0.383786,495483.070000,9469855.424000,5.647900,qfq
603986.SH,20250916,188.725995,196.514687,186.619054,188.885763,190.663182,-1.777419,-0.932230,408562.210000,7810240.314000,5.647900,qfq
603986.SH,20250917,188.716009,192.300805,182.704737,186.329474,188.885763,-2.556289,-1.353352,339245.370000,6358605.811000,5.647900,qfq
603986.SH,20250918,189.115430,200.558815,186.529184,190.603269,186.329474,4.273795,2.293676,590410.520000,11381851.203000,5.647900,qfq
603986.SH,20250919,194.028297,195.596021,184.641924,184.931504,190.603269,-5.671765,-2.975692,371918.210000,7051277.593000,5.647900,qfq
603986.SH,20250922,188.606169,197.802817,186.009938,194.727282,184.931504,9.795778,5.296976,411977.690000,8002507.023000,5.647900,qfq
603986.SH,20250923,195.715847,201.297742,188.416444,193.788645,194.727282,-0.938637,-0.482027,399945.660000,7780830.608000,5.647900,qfq
